"STRUCTURE_Parent_SMILES ","STRUCTURE_InChI ","ActivityOutcome_CPDBAS_MultiCellCall ","STRUCTURE_Shown ","TestSubstance_ChemicalName ","ActivityScore_CPDBAS_Rat ","TD50_Hamster_mg mg","TD50_Rat_mmol mmol","ActivityOutcome_CPDBAS_SingleCellCall ","TD50_Rat_Note ","STRUCTURE_MolecularWeight ","TD50_Dog_mg mg","TargetSites_Mouse_BothSexes ","DSSTox_CID ","STRUCTURE_ChemicalName_IUPAC ","NTP_TechnicalReport ","TD50_Cynomolgus_mg mg","ActivityOutcome_CPDBAS_Rat ","ActivityOutcome_CPDBAS_Mutagenicity ","ActivityScore_CPDBAS_Mouse ","STRUCTURE_InChIKey ","ChemicalNote ","ActivityOutcome_CPDBAS_MultiCellCall_Details ","TestSubstance_CASRN ","DSSTox_RID ","TargetSites_Mouse_Male ","TD50_Dog_Primates_Note ","STRUCTURE_Formula ","TD50_Rat_mg mg","TestSubstance_Description ","ActivityScore_CPDBAS_Hamster ","Endpoint ","TargetSites_Cynomolgus ","STRUCTURE_TestedForm_DefinedOrganic ","StudyType ","Note_CPDBAS ","TargetSites_Rhesus ","DSSTox_FileID ","TD50_Mouse_mmol mmol","ActivityOutcome_CPDBAS_Dog_Primates ","ChemicalPage_URL ","TD50_Mouse_Note ","ActivityOutcome_CPDBAS_Hamster ","TD50_Mouse_mg mg","STRUCTURE_ChemicalType ","TargetSites_Rat_Male ","TargetSites_Hamster_Female ","TargetSites_Dog ","TargetSites_Mouse_Female ","TargetSites_Hamster_BothSexes ","STRUCTURE_SMILES ","ActivityOutcome_CPDBAS_Mouse ","TargetSites_Rat_BothSexes ","TargetSites_Hamster_Male ","TD50_Hamster_mmol mmol","TD50_Hamster_Note ","Species ","TargetSites_Rat_Female ","DSSTox_Generic_SID ","TD50_Rhesus_mg mg"
"N1C(=O)C(CC)(CCC(C)C)C(=O)NC1=O","InChI=1/C11H18N2O3/c1-4-11(6-5-7(2)3)8(14)12-10(16)13-9(11)15/h7H,4-6H2,1-3H3,(H2,12,13,14,15,16)/f/h12-13H","","tested chemical","Amobarbital",0.0,,,"inactive","no positive results",226.27479553222656,,"",81.0,"5-ethyl-5-(3-methylbutyl)pyrimidine-2,4,6(1H,3H,5H)-trione","",,"inactive","",,"VIROVYVQCGLCII-BAINRFMOCW","","","57-43-2",20081.0,"","","C11H18N2O3",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","82_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/AMOBARBITAL.html","","",,"defined organic","no positive results","","","","","N1C(=O)C(CC)(CCC(C)C)C(=O)NC1=O","","","",,"","rat","",20081.0,
"C1=CC=CC=C1CC(N)C","InChI=1/2C9H13N.H2O4S/c2*1-8(10)7-9-5-3-2-4-6-9;1-5(2,3)4/h2*2-6,8H,7,10H2,1H3;(H2,1,2,3,4)/f/h;;1-2H","inactive","tested chemical","dl-Amphetamine sulfate",0.0,,,"inactive","no positive results",368.49090576171875,,"",82.0,"1-phenylpropan-2-amine sulfate (2:1)","TR 387",,"inactive","inactive",0.0,"PYHRZPFZZDCOPH-IPLSSONACD","racemic mixture of L- [51-62-7] and D- [51-63-8], parent [300-62-9], structure shown without stereochem","multisex inactive; multispecies inactive","60-13-9",20082.0,"no positive results","","C18H28N2O4S",,"single chemical compound",,"TD50; Tumor Target Sites","","complex bis H2SO4","Carcinogenicity","","","83_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/dl-AMPHETAMINE%20SULFATE.html","no positive results","",,"defined organic","no positive results","","","no positive results","","O=S(O)(O)=O.C1(=CC=CC=C1CC(N)C).C2=CC=CC=C2CC(N)C","inactive","","",,"","rat; mouse","no positive results",20082.0,
"[H][C@@]12[C@]([H])(NC([C@H](N)C3=CC=CC=C3)=O)C(N1[C@@H]([C@@](O)=O)C(C)(C)S2)=O","InChI=1/C16H19N3O4S.3H2O/c1-16(2)11(15(22)23)19-13(21)10(14(19)24-16)18-12(20)9(17)8-6-4-3-5-7-8;;;/h3-7,9-11,14H,17H2,1-2H3,(H,18,20)(H,22,23);3*1H2/t9-,10-,11+,14-;;;/m1.../s1/f/h18,22H;;;","inactive","tested chemical","Ampicillin trihydrate",0.0,,,"inactive","no positive results",403.4505920410156,,"",83.0,"(2S,5R,6R)-6-{[(2R)-2-amino-2-phenylacetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid trihydrate","TR 318",,"inactive","inactive",0.0,"RXDALBZNGVATNY-FQLIROBNDT","stereochem; parent [69-53-4]","multisex inactive; multispecies inactive","7177-48-2",20083.0,"no positive results","","C16H25N3O7S",,"single chemical compound",,"TD50; Tumor Target Sites","","complex 3H2O","Carcinogenicity","structure modified v5b","","84_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/AMPICILLIN%20TRIHYDRATE.html","no positive results","",,"defined organic","no positive results","","","no positive results","","[H][C@@]12[C@]([H])(NC([C@H](N)C3=CC=CC=C3)=O)C(N1[C@@H]([C@@](O)=O)C(C)(C)S2)=O.O.O.O","inactive","","",,"","rat; mouse","no positive results",20083.0,
"O=C(N(CCCCC)N=O)N","InChI=1/C6H13N3O2/c1-2-3-4-5-9(8-11)6(7)10/h2-5H2,1H3,(H2,7,10)/f/h7H2","active","tested chemical","1-Amyl-1-nitrosourea",51.0,,0.0035000001080334187,"active","TD50 is harmonic mean of more than one positive test",159.18760681152344,,"",84.0,"1-nitroso-1-pentylurea","",,"active","",,"YYTNAQDGJQPZFU-IAUQMDSZCI","","multisite active; multisex active","10589-74-9",20084.0,"","","C6H13N3O2",0.5550000071525574,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","TD50_Rat modified v5a","","85_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/1-AMYL-1-NITROSOUREA.html","","",,"defined organic","hematopoietic system; lung; stomach","","","","","O=C(N(CCCCC)N=O)N","","","",,"","rat","hematopoietic system; lung; mammary gland; stomach; uterus",20084.0,
"","InChI=1//","","no structure","Amylopectin sulfate",50.0,,,"active","TD50 is harmonic mean of more than one positive test; TD50_Rat_mmol was not calculated for this mixture, but Activiity Score is assigned value of "50" to indicate active",,,"",,"","",,"active","",,"MOSFIJXAXDLOML-UHFFFAOYAM","non-linear polymer of glucose (Merck - amylopectic)","","9047-13-6",20085.0,"","","",283.0,"macromolecule",,"TD50; Tumor Target Sites","","","Carcinogenicity","TD50_Rat_mmol and TD50_Mouse_mmol conversions from mg values not provided due substance being a mixture","","86_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/AMYLOPECTIN%20SULFATE.html","","",,"no structure","large intestine","","","","","","","","",,"","rat","",20085.0,
"C/C=C/C1=CC=C(C=C1)OC","InChI=1/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3/b4-3+","inactive","tested chemical","trans-Anethole",0.0,,,"inactive","no positive results",148.2017059326172,,"",87.0,"1-(methyloxy)-4-[(1E)-prop-1-en-1-yl]benzene","",,"inactive","inactive",0.0,"RUVINXPYWBROJD-ONEGZZNKBR","stereochem","multisex inactive","4180-23-8",20087.0,"","","C10H12O",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","88_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/trans-ANETHOLE.html","no positive results","",,"defined organic","no positive results","","","no positive results","","C/C=C/C1=CC=C(C=C1)OC","inactive","","",,"","rat","no positive results",20087.0,
"C/C=C/C1=CC=C(C=C1)OC","InChI=1/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3/b4-3+","inactive","tested chemical","trans-Anethole",0.0,,,"inactive","no positive results",148.2017059326172,,"",87.0,"1-(methyloxy)-4-[(1E)-prop-1-en-1-yl]benzene","",,"inactive","inactive",0.0,"RUVINXPYWBROJD-ONEGZZNKBR","stereochem","multisex inactive","4180-23-8",20087.0,"","","C10H12O",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","88_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/trans-ANETHOLE.html","no positive results","",,"defined organic","no positive results","","","no positive results","","C/C=C/C1=CC=C(C=C1)OC","inactive","","",,"","rat","no positive results",20087.0,
"O[C@H]1[C@@H]([C@H](O)CO)O[C@H]2[C@@H]1O[C@@H]([C@@](Cl)(Cl)Cl)O2","InChI=1/C8H11Cl3O6/c9-8(10,11)7-16-5-3(14)4(2(13)1-12)15-6(5)17-7/h2-7,12-14H,1H2/t2-,3+,4-,5-,6-,7-/m1/s1","inactive","tested chemical","Anhydroglucochloral",,,,"inactive","",309.5282897949219,,"",88.0,"1,2-O-[(1R)-2,2,2-trichloroethylidene]-alpha-D-glucofuranose","",,"","",0.0,"OJYGBLRPYBAHRT-IPQSZEQABF","Chlorlose-alpha, stereochem","multisex inactive","15879-93-3",20088.0,"no positive results","","C8H11Cl3O6",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","structure modified v5b","","89_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ANHYDROGLUCOCHLORAL.html","no positive results","",,"defined organic","","","","no positive results","","O[C@H]1[C@@H]([C@H](O)CO)O[C@H]2[C@@H]1O[C@@H]([C@@](Cl)(Cl)Cl)O2","inactive","","",,"","mouse","",20088.0,
"ClC1=NC(=NC(=N1)NC2=CC=CC=C2Cl)Cl","InChI=1/C9H5Cl3N4/c10-5-3-1-2-4-6(5)13-9-15-7(11)14-8(12)16-9/h1-4H,(H,13,14,15,16)/f/h13H","inactive","tested chemical","Anilazine",0.0,,,"inactive","no positive results",275.52178955078125,,"",89.0,"4,6-dichloro-N-(2-chlorophenyl)-1,3,5-triazin-2-amine","TR 104",,"inactive","inactive",0.0,"IMHBYKMAHXWHRP-NDKGDYFDCD","","multisex inactive; multispecies inactive","101-05-3",20089.0,"no positive results","","C9H5Cl3N4",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","90_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ANILAZINE.html","no positive results","",,"defined organic","no positive results","","","no positive results","","ClC1=NC(=NC(=N1)NC2=CC=CC=C2Cl)Cl","inactive","","",,"","rat; mouse","no positive results",20089.0,
"NC1=CC=CC=C1","InChI=1/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2","","tested chemical","Aniline",0.0,,,"inactive","no positive results",93.12650299072266,,"",90.0,"aniline","",,"inactive","inactive",,"PAYRUJLWNCNPSJ-UHFFFAOYAP","","","62-53-3",20090.0,"","","C6H7N",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","91_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ANILINE.html","","",,"defined organic","no positive results","","","","","NC1=CC=CC=C1","","","",,"","rat","",20090.0,
"NC1=CC=CC=C1","InChI=1/C6H7N.ClH/c7-6-4-2-1-3-5-6;/h1-5H,7H2;1H","active","tested chemical","Aniline.HCl",22.0,,2.0799999237060547,"active","TD50 is harmonic mean of more than one positive test; greater than ten-fold variation among TD50 values for positive results",129.58740234375,,"",91.0,"aniline hydrochloride","TR 130",,"active","inactive",0.0,"MMCPOSDMTGQNKG-UHFFFAOYAJ","parent [62-53-3]","multisite active; multisex active","142-04-1",20091.0,"no positive results","","C6H8ClN",269.0,"single chemical compound",,"TD50; Tumor Target Sites","","complex HCl","Carcinogenicity","","","92_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ANILINE.HCl.html","no positive results","",,"defined organic","peritoneal cavity; spleen; vascular system","","","no positive results","","NC1=CC=CC=C1[H]Cl","inactive","","",,"","rat; mouse","peritoneal cavity",20091.0,
"C1(=C(C=CC=C1)N)OC","InChI=1/C7H9NO.ClH/c1-9-7-5-3-2-4-6(7)8;/h2-5H,8H2,1H3;1H","active","tested chemical","o-Anisidine.HCl",33.0,,0.1860000044107437,"active","TD50 is harmonic mean of more than one positive test",159.6134033203125,,"",92.0,"2-methoxyaniline hydrochloride","TR 89",,"active","active",19.0,"XCZCWGVXRBJCCD-UHFFFAOYAX","parent [90-04-0]","multisite active; multisex active; multispecies active","134-29-2",20092.0,"urinary bladder","","C7H10ClNO",29.700000762939453,"single chemical compound",,"TD50; Tumor Target Sites","","complex HCl","Carcinogenicity","","","93_CPDBAS_v5d",6.050000190734863,"","http://potency.berkeley.edu/chempages/o-ANISIDINE.HCl.html","TD50 is harmonic mean of more than one positive test","",966.0,"defined organic","kidney; thyroid gland; urinary bladder","","","urinary bladder","","C1(=C(C=CC=C1)N)OC.[H]Cl","active","","",,"","rat; mouse","urinary bladder",20092.0,
"C1(=CC=C(N)C=C1)OC","InChI=1/C7H9NO.ClH/c1-9-7-4-2-6(8)3-5-7;/h2-5H,8H2,1H3;1H","inactive","tested chemical","p-Anisidine.HCl",0.0,,,"inactive","no positive results",159.6134033203125,,"",93.0,"4-(methyloxy)aniline hydrochloride","TR 116",,"inactive","active",0.0,"VQYJLACQFYZHCO-UHFFFAOYAH","parent [104-94-9]","multisex inactive; multispecies inactive","20265-97-8",20093.0,"no positive results","","C7H10ClNO",,"single chemical compound",,"TD50; Tumor Target Sites","","complex HCl","Carcinogenicity","","","94_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/p-ANISIDINE.HCl.html","no positive results","",,"defined organic","no positive results","","","no positive results","","C1(=CC=C(N)C=C1)OC.[H]Cl","inactive","","",,"","rat; mouse","no positive results",20093.0,
"NC1=C(C=CC=C1)C(=O)O","InChI=1/C7H7NO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,8H2,(H,9,10)/f/h9H","inactive","tested chemical","Anthranilic acid",0.0,,,"inactive","no positive results",137.13600158691406,,"",94.0,"2-aminobenzoic acid","TR 36",,"inactive","inactive",0.0,"RWZYAGGXGHYGMB-BGGKNDAXCO","","multisex inactive; multispecies inactive","118-92-3",20094.0,"no positive results","","C7H7NO2",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","95_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ANTHRANILIC%20ACID.html","no positive results","",,"defined organic","no positive results","","","no positive results","","NC1=C(C=CC=C1)C(=O)O","inactive","","",,"","rat; mouse","no positive results",20094.0,
"O=C1C2=C(C=CC=C2)C(=O)C3=C1C=CC=C3","InChI=1/C14H8O2/c15-13-9-5-1-2-6-10(9)14(16)12-8-4-3-7-11(12)13/h1-8H","inactive","tested chemical","9,10-Anthraquinone",,,,"inactive","",208.21209716796875,,"",95.0,"9,10-anthraquinone","",,"","active",0.0,"RZVHIXYEVGDQDX-UHFFFAOYAA","","multisex inactive","84-65-1",20095.0,"no positive results","","C14H8O2",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","96_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/9,10-ANTHRAQUINONE.html","no positive results","",,"defined organic","","","","no positive results","","O=C1C2=C(C=CC=C2)C(=O)C3=C1C=CC=C3","inactive","","",,"","mouse","",20095.0,
"","InChI=1/2C4H4O6.2K.3H2O.2Sb/c2*5-1(3(7)8)2(6)4(9)10;;;;;;;/h2*1-2H,(H,7,8)(H,9,10);;;3*1H2;;/q2*-2;2*+1;;;;2*+3/p-4/f2C4H2O6.2K.3H2O.2Sb/q2*-4;2m;;;;2m/rC8H6O12Sb2.2K.3H2O/c9-5(10)1-3-7(13)19-22(17-3)16-2(6(11)12)4-8(14)20-21(15-1)18-4;;;;;/h1-4H,(H,9,10)(H,11,12);;;3*1H2/q;2*+1;;;/p-2/fC8H4O12Sb2.2K.3H2O/q-2;2m;;;","","tested chemical","Antimony potassium tartrate",,,,"inactive","",667.8726196289062,,"no positive results",96.0,"dipotassium 5,11-dioxo-2,6,8,12,13,14-hexaoxa-1,7-distibatricyclo[8.2.1.1~4,7~]tetradecane-3,9-dicarboxylate trihydrate","",,"","inactive",0.0,"WBTCZEPSIIFINA-DYFLWLNICK","","","28300-74-5",20096.0,"","","C8H10K2O15Sb2",,"single chemical compound",,"TD50; Tumor Target Sites","","","Carcinogenicity","","","97_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ANTIMONY%20POTASSIUM%20TARTRATE.html","","",,"organometallic","","","","","","[K+].[K+].[O-]C(=O)C2O[Sb]3OC(C(O[Sb]1OC(=O)C2O1)C([O-])=O)C(=O)O3.O.O.O","inactive","","",,"","mouse","",39240.0,
"CC(COC1=CC=C(C=C1)C(C)(C)C)OS(=O)OCCCl","InChI=1/C15H23ClO4S/c1-12(20-21(17)19-10-9-16)11-18-14-7-5-13(6-8-14)15(2,3)4/h5-8,12H,9-11H2,1-4H3","active","tested chemical","Aramite",31.0,,0.289000004529953,"active","TD50 is harmonic mean of more than one positive test",334.85870361328125,,"",97.0,"2-chloroethyl 2-{[4-(1,1-dimethylethyl)phenyl]oxy}-1-methylethyl sulfite","",,"active","",32.0,"YKFRAOGHWKADFJ-UHFFFAOYAL","","multispecies active","140-57-8",20097.0,"liver","","C15H23ClO4S",96.69999694824219,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","98_CPDBAS_v5d",0.47200000286102295,"","http://potency.berkeley.edu/chempages/ARAMITE.html","","",158.0,"defined organic","","","","no positive results","","CC(COC1=CC=C(C=C1)C(C)(C)C)OS(=O)OCCCl","active","liver","",,"","rat; mouse","",20097.0,
"O=C(OC)C1=CCCN(C)C1","InChI=1/C8H13NO2.ClH/c1-9-5-3-4-7(6-9)8(10)11-2;/h4H,3,5-6H2,1-2H3;1H","active","tested chemical","Arecoline.HCl",,,,"active","",191.6571044921875,,"",98.0,"methyl 1-methyl-1,2,5,6-tetrahydropyridine-3-carboxylate hydrochloride","",,"","",36.0,"LQSWCSYIDIBGRR-UHFFFAOYAO","parent [63-75-2]","multisite active; multisex active","61-94-9",20098.0,"lung; stomach; vascular system","","C8H14ClNO2",,"single chemical compound",,"TD50; Tumor Target Sites","","complex HCl","Carcinogenicity","","","99_CPDBAS_v5d",0.20600000023841858,"","http://potency.berkeley.edu/chempages/ARECOLINE.HCl.html","TD50 is harmonic mean of more than one positive test","",39.5,"defined organic","","","","lung; vascular system","","O=C(OC)C1=CCCN(C)C1.[H]Cl","active","","",,"","mouse","",20098.0,
"[O-][N+](C1=CC(C(OC)=CC=C4)=C4C2=C1C(C(O)=O)=CC3=C2OCO3)=O","InChI=1/C17H11NO7.Na/c1-23-12-4-2-3-8-9(12)5-11(18(21)22)14-10(17(19)20)6-13-16(15(8)14)25-7-24-13;/h2-6H,7H2,1H3,(H,19,20);/q;+1/p-1/fC17H10NO7.Na/q-1;m","active","representative component in mixture","Aristolochic acid, sodium salt (77% AA I, 21% AA II)",50.0,,,"active","TD50 is harmonic mean of more than one positive test; TD50_Rat_mmol was not calculated for this mixture, but Activiity Score is assigned value of "50" to indicate active",363.25360107421875,,"",99.0,"sodium 8-(methyloxy)-6-nitrophenanthro[3,4-d][1,3]dioxole-5-carboxylate","",,"active","active",,"BQVOPWJSBBMGBR-KEMNOBITCY","structure shown AA I,  parent [313-67-7]; AA II 6-Nitrophenanthro(3,4-d)-1,3-dioxole-5-carboxylic acid, sodium salt, AA II parent [475-80-9]","multisex active","10190-99-5",20099.0,"","","C17H10NNaO7",0.014100000262260437,"mixture or formulation",,"TD50; Tumor Target Sites","","salt Na","Carcinogenicity","kidney and urinary bladder were additional target sites but experiments too short to meet the inclusion rules of the CPDB; Rat added v2a; Mutagenicity_SAL_CPDB added v3a; TD50_Rat_mmol conversion from mg value not provided due to substance being a mixture","","100_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ARISTOLOCHIC%20ACID,%20SODIUM%20SALT%20(77%25%20AA%20I,%2021%25%20AA%20I.html","","",,"defined organic","stomach","","","","","[O-][N+](C1=CC(C(OC)=CC=C4)=C4C2=C1C(C([O-])=O)=CC3=C2OCO3)=O.[Na+]","","","",,"","rat","stomach",20099.0,
